type,curve,i,t
12K,Clearing,1.475835;1.475835;1.497064;1.540876;1.598239;1.666441;1.778004;1.9528;2.159215;2.392277;2.646115;2.838527;3.100498,3;2.452575;2.068201;1.55691;1.109757;0.675696;0.203251;-0.298518;-0.716699;-1.124939;-1.481486;-1.69897;-1.886057
15K,Melting,1.486224;1.486224;1.497967;1.530488;1.580623;1.635727;1.71748;1.810524;1.917118;2.048104;2.192637;2.395891;2.567976;2.750903;2.836721,3;2.490966;2.187896;1.80262;1.408311;0.968833;0.528904;0.210479;-0.129187;-0.443577;-0.739929;-1.136677;-1.49485;-1.823909;-2
15K,Clearing,1.588753;1.588753;1.61224;1.642051;1.701672;1.781617;1.886404;2.091012;2.278907;2.480352;2.656955;2.87421;2.992096;3.163731;3.231933,3;2.452575;2.093495;1.64589;1.150406;0.680218;0.228554;-0.33059;-0.718967;-1.075721;-1.356547;-1.619789;-1.744727;-1.823909;-1.886057
20K,Melting,1.591915;1.591915;1.617661;1.668248;1.736901;1.834914;1.947832;2.097334;2.29607;2.477191;2.633017;2.788844;2.935637,3;2.465673;1.99187;1.48374;0.957545;0.474711;0.060055;-0.347754;-0.756962;-1.119186;-1.431798;-1.721246;-2
20K,Clearing,1.688121;1.688121;1.707091;1.748645;1.801491;1.876468;1.999774;2.167344;2.378274;2.625339;2.890018;3.059847;3.193088;3.335366,3;2.450315;1.973351;1.477868;1.073623;0.614729;0.164858;-0.259716;-0.669383;-1.113509;-1.508638;-1.677781;-1.79588;-1.886057
25K,Melting,1.698058;1.698058;1.712059;1.755872;1.820009;1.872403;1.965447;2.074301;2.227869;2.446928;2.648374;2.829042;2.966802;3.054877,3;2.466124;2.101627;1.554653;1.060524;0.693314;0.322033;-0.02618;-0.390192;-0.823909;-1.21467;-1.568636;-1.823909;-2
25K,Clearing,1.77168;1.77168;1.790199;1.823171;1.876016;1.935185;1.989837;2.091917;2.187219;2.350723;2.525068;2.701672;2.873758;3.086947;3.235998;3.414408,3;2.446251;2.162149;1.637308;1.114724;0.771455;0.505869;0.160348;-0.084442;-0.451242;-0.793174;-1.09691;-1.346787;-1.619789;-1.744727;-1.886057
30K,Melting,1.778907;1.778907;1.804201;1.841237;1.884598;1.93925;2.002935;2.091463;2.1958;2.34485;2.493903;2.645212;2.796522;2.914408;3.058942;3.131211,3;2.468835;2.131436;1.693767;1.285908;0.934958;0.593497;0.263328;-0.065047;-0.386158;-0.694649;-1.013228;-1.318759;-1.552842;-1.823909;-2
30K,Clearing,1.891373;1.891373;1.91486;1.94467;1.965447;2.01152;2.068427;2.125338;2.193542;2.372855;2.502032;2.622177;2.778455;2.948284;3.095528;3.278456;3.477642;3.527326,3;2.453026;2.046522;1.70551;1.441734;1.075879;0.726287;0.469734;0.196922;-0.263763;-0.548367;-0.793174;-1.070581;-1.318759;-1.522879;-1.69897;-1.823909;-1.886057
40K,Melting,1.899955;1.899955;1.936992;1.978546;2.049458;2.113144;2.194897;2.303749;2.396794;2.502936;2.606368;2.746838;2.945573;3.250452,3;2.468835;1.992773;1.605239;1.090336;0.671182;0.31798;-0.034798;-0.299469;-0.551448;-0.744727;-1.022276;-1.39794;-2
40K,Clearing,1.995709;1.995709;2.021454;2.053524;2.10185;2.190379;2.343044;2.524165;2.678636;2.839431;2.977642;3.129403;3.312782;3.446026;3.649277,3;2.453477;1.907859;1.480577;1.060524;0.649052;0.147243;-0.325231;-0.679854;-0.982967;-1.207608;-1.431798;-1.638272;-1.744727;-1.886057
50K,Melting,1.992547;1.992547;2.038167;2.095528;2.168701;2.26626;2.332657;2.438799;2.63121;2.814137;2.976739;3.12579;3.268068;3.342592,3;2.459801;2.056459;1.544264;1.063236;0.564583;0.24571;-0.105241;-0.595337;-0.950782;-1.267606;-1.568636;-1.823909;-2
50K,Clearing,2.09011;2.09011;2.136178;2.198057;2.285231;2.403568;2.580623;2.788844;2.974932;3.185862;3.348465;3.507001;3.662828;3.737805,3;2.453477;1.937669;1.381211;0.831076;0.299899;-0.200108;-0.68382;-1.026872;-1.356547;-1.585027;-1.721246;-1.823909;-1.886057
65K,Melting,2.095981;2.095981;2.130758;2.176378;2.222449;2.281617;2.48803;2.653343;2.775294;2.901762;3.053071;3.17728;3.294715;3.333107;3.455058,3;2.462512;2.065946;1.583108;1.188799;0.815266;-0.000435;-0.433209;-0.673459;-0.928118;-1.207608;-1.443697;-1.677781;-1.744727;-2
65K,Clearing,2.187219;2.187219;2.221996;2.268068;2.323172;2.402665;2.498419;2.602755;2.720641;2.841237;2.995257;3.135276;3.314137;3.452349;3.574751;3.698961;3.801039,3;2.456188;2.003611;1.567299;1.088076;0.651762;0.265572;-0.041102;-0.333295;-0.588549;-0.886057;-1.119186;-1.387216;-1.568636;-1.69897;-1.79588;-1.886057
80K,Melting,2.190379;2.190379;2.247743;2.302846;2.371048;2.464543;2.573396;2.734192;2.935185;3.113596;3.307815;3.411699;3.558491,3;2.465221;1.900181;1.42141;0.967932;0.462053;0.050148;-0.375821;-0.780154;-1.148742;-1.522879;-1.721246;-2
80K,Clearing,2.30917;2.30917;2.343948;2.401761;2.499774;2.62037;2.768067;2.953704;3.107722;3.311879;3.513324;3.651084;3.903117,3;2.458446;1.938121;1.317976;0.65673;0.193319;-0.222646;-0.588549;-0.88941;-1.21467;-1.49485;-1.657577;-1.886057
100K,Melting,2.302846;2.302846;2.324075;2.379179;2.432024;2.538618;2.640696;2.73103;2.841689;3.004743;3.226061;3.460931;3.555781;3.686766,3;2.469738;2.032066;1.45122;0.995482;0.501361;0.161697;-0.08176;-0.327902;-0.653647;-1.080922;-1.552842;-1.721246;-2
100K,Clearing,2.406278;2.406278;2.42299;2.460027;2.519648;2.613144;2.749548;2.885501;3.021454;3.254968;3.510615;3.723351;4.000226,3;2.456188;2.013099;1.5271;1.031618;0.547873;0.11381;-0.213178;-0.48825;-0.91364;-1.327902;-1.60206;-1.886057
140K,Melting,2.495257;2.495257;2.500677;2.535908;2.568428;2.670958;2.773035;2.894986;3.017388;3.148374;3.326784;3.466802;3.629403;3.767615;3.866531;3.88234,3;2.987353;2.490966;1.882566;1.381211;0.733967;0.349141;-0.004058;-0.266001;-0.531653;-0.896196;-1.173925;-1.481486;-1.769551;-1.958607;-2
140K,Clearing,2.554426;2.554426;2.561653;2.603659;2.642954;2.713866;2.830397;2.973126;3.147924;3.288392;3.476287;3.639341;3.786585;3.90402;4.000226,3;2.990515;2.763324;2.067751;1.520325;0.972901;0.414188;-0.017141;-0.4011;-0.707744;-1.045757;-1.30103;-1.49485;-1.638272;-1.721246
200K,Melting,2.67954;2.67954;2.696252;2.740063;2.801942;2.859305;2.945573;3.00926;3.097788;3.188121;3.253614;3.404923;3.626242;3.829946;3.996612,3;2.999549;2.673442;2.044716;1.452122;1.055554;0.590786;0.315719;0.042024;-0.203218;-0.374893;-0.661743;-1.09691;-1.49485;-1.79588
200K,Clearing,2.757678;2.757678;2.769422;2.818202;2.873306;2.950994;3.044489;3.20122;3.362466;3.484418;3.629403;3.742773;3.88776;4.000226,3;2.993225;2.766034;2.12737;1.550135;0.998194;0.525744;0.003633;-0.391581;-0.655804;-0.928118;-1.113509;-1.327902;-1.468521
15E_25kV,Melting,1.476136;1.478307;1.483088;1.494377;1.51088;1.536508;1.553446;1.567779;1.584275;1.603826;1.625107;1.650288;1.675916;1.704579;1.730637;1.754088;1.780144;1.805331;1.834866;1.869173;1.909567;1.947782;1.991647;2.042457;2.104128;2.135397;2.171009;2.21053;2.259606;2.304338;2.363401;2.47762;2.517576;2.574034;2.618766;2.666104;2.716917;2.804644;2.919601;4.210853,2.778986;1.897367;1.684563;1.512582;1.337126;1.155591;1.068297;1.005759;0.944522;0.885892;0.819879;0.749087;0.674824;0.596223;0.531504;0.472449;0.409899;0.348675;0.281783;0.206664;0.122412;0.040761;-0.048274;-0.151626;-0.274987;-0.339229;-0.410497;-0.488651;-0.588549;-0.676748;-0.795609;-1.022734;-1.102923;-1.21467;-1.303644;-1.399027;-1.497573;-1.673664;-2;-2
15E_25kV,Clearing,1.525213;1.539979;1.564737;1.587318;1.612508;1.648555;1.690683;1.736715;1.785358;1.838339;1.921723;2.048974;2.14191;2.220519;2.305205;2.402488;2.511061;2.599223;2.690859;2.784232;2.895846;2.980967;3.049152;3.08129;3.119942;3.188127;3.25935;3.332311;3.409615;3.486919;3.576384;3.678009;3.814812;3.939888;4.000256;4.046725;4.1262;4.171367;4.210888;4.210888,2.779421;1.579898;1.320188;1.16471;1.036158;0.908474;0.779928;0.648331;0.524565;0.396007;0.222716;-0.042201;-0.228045;-0.384471;-0.541211;-0.711974;-0.889074;-1.019088;-1.137272;-1.240332;-1.345823;-1.421361;-1.476254;-1.497573;-1.519993;-1.55752;-1.590067;-1.617983;-1.643974;-1.665546;-1.688246;-1.709965;-1.735182;-1.754487;-1.761954;-1.767004;-1.777284;-1.782516;-1.785156;-2
