Circuit,Upstream_Equipment_Number,Upstream_Equipment_ID,Upstream_Device_Type,Downstream_Equipment_Number,Downstream_Equipment_ID,Downstream_Device_Type,Check_Type,Phase_Fault_Current_A,Phase_Upstream_Time_s,Phase_Downstream_Time_s,Phase_Margin_s,Phase_Required_Margin_s,Phase_Violation,Ground_Fault_Current_A,Ground_Upstream_Time_s,Ground_Downstream_Time_s,Ground_Margin_s,Ground_Required_Margin_s,Ground_Violation,Upstream_Phase_Pickup_A,Upstream_Phase_Curve,Upstream_Phase_TD,Upstream_Ground_Pickup_A,Upstream_Ground_Curve,Upstream_Ground_TD,Downstream_Phase_Pickup_A,Downstream_Phase_Curve,Downstream_Phase_TD,Downstream_Ground_Pickup_A,Downstream_Ground_Curve,Downstream_Ground_TD,Upstream_Total_Customers,Downstream_Total_Customers,Customers_Erroneously_Disconnected,Upstream_Device_Downstream_A_PH_cKVA,Upstream_Device_Downstream_B_PH_cKVA,Upstream_Device_Downstream_C_PH_cKVA,Upstream_Device_Total_Downstream_3PH_cKVA,Downstream_Device_Downstream_A_PH_cKVA,Downstream_Device_Downstream_B_PH_cKVA,Downstream_Device_Downstream_C_PH_cKVA,Downstream_Device_Total_Downstream_3PH_cKVA,Notes
67271203,67271203,DEFAULT_BREAKER,Breaker,38934581,K_80A,Fuse,Breaker-Fuse,,,,,0.0,False,3692.0,0.0158,0.0276,-0.0119,0.0,True,,,,450.0000,102,1.0000,,,,,80K,,601,2,599,6538.0,5482.0,5915.0,11116.0,0.0,25.0,50.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38935434,T_80A,Fuse,Breaker-Fuse,2973.0,0.0110,0.0892,-0.0782,0.0,True,2423.0,0.0159,0.1266,-0.1107,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,80T,,,80T,,601,6,595,6538.0,5482.0,5915.0,11116.0,25.0,325.0,25.0,75.0,
67271203,67271203,DEFAULT_BREAKER,Breaker,373707034,T_80A,Fuse,Breaker-Fuse,2986.0,0.0110,0.0885,-0.0775,0.0,True,2442.0,0.0159,0.1247,-0.1088,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,80T,,,80T,,601,11,590,6538.0,5482.0,5915.0,11116.0,50.0,50.0,150.0,150.0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38917789,K_50A,Fuse,Breaker-Fuse,4106.0,0.0110,0.0162,-0.0052,0.0,True,3983.0,0.0158,0.0165,-0.0007,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,50K,,,50K,,601,28,573,6538.0,5482.0,5915.0,11116.0,1108.0,1225.0,1158.0,3175.0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38924655,K_80A,Fuse,Breaker-Fuse,3040.0,0.0110,0.0353,-0.0243,0.0,True,2503.0,0.0159,0.0462,-0.0303,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,80K,,,80K,,601,2,599,6538.0,5482.0,5915.0,11116.0,65.0,50.0,75.0,150.0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38927187,T_80A,Fuse,Breaker-Fuse,3113.0,0.0110,0.0826,-0.0716,0.0,True,2589.0,0.0159,0.1123,-0.0964,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,80T,,,80T,,601,4,597,6538.0,5482.0,5915.0,11116.0,75.0,75.0,85.0,225.0,
67271203,67271203,DEFAULT_BREAKER,Breaker,2M2D93_38934970,K_80A,Fuse,Breaker-Fuse,,,,,0.0,False,3030.0,0.0158,0.0354,-0.0196,0.0,True,,,,450.0000,102,1.0000,,,,,80K,,601,2,599,6538.0,5482.0,5915.0,11116.0,0.0,75.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38922898,K_80A,Fuse,Breaker-Fuse,3150.0,0.0110,0.0336,-0.0226,0.0,True,2633.0,0.0159,0.0431,-0.0272,0.0,True,750.0000,121,1.0000,450.0000,102,1.0000,,80K,,,80K,,601,7,594,6538.0,5482.0,5915.0,11116.0,100.0,50.0,50.0,150.0,
67271203,38923880,K_65A,Fuse,1X5X47_660619415,K_65A,Fuse,Fuse-Fuse,,,,,0.0,False,2164.0,0.0178,0.0385,-0.0207,0.0,True,,,,,65K,,,,,,65K,,5,1,4,350.0,75.0,75.0,225.0,100.0,0.0,0.0,0,
67271203,67271203,DEFAULT_BREAKER,Breaker,38923868,K_65A,Fuse,Breaker-Fuse,,,,,0.0,False,2318.0,0.0159,0.0351,-0.0192,0.0,True,,,,450.0000,102,1.0000,,,,,65K,,601,9,592,6538.0,5482.0,5915.0,11116.0,100.0,0.0,0.0,0,
